site,category,site_product_type,site_tags,product_title,variant_title,form_factor,form_factor_description,price_usd,weight_grams,price_per_gram,year,in_stock,product_url
white2tea,Ripe Puer,Ripe Puer Tea,"Ripe Puer Tea, Ripe Puer Tea: 2021, Small Batch Ripe Puer",2021 Bringer,25g,Other/Unspecified,Could not tell from the title - check manually,31.0,25.0,1.24,2021,True,https://white2tea.com/products/2021-bringer
white2tea,Raw Puer,Raw Puer Tea,"Raw Puer Tea, Raw Puer Tea: 2020",2020 inb4,25g,Other/Unspecified,Could not tell from the title - check manually,31.0,25.0,1.24,2020,True,https://white2tea.com/products/2020-inb4
Yunnan Sourcing,Raw Puer,Raw Pu-erh Tea,"$1.00-$1.49/g, 2015, 400 grams, Cake, Kunming Storage, NONYS2024, Price per gram_$1.00-$1.49/g, Pu-erh Harvest Season_Spring Harvest, Region_Yunnan, revoq-no-withdrawal, Sample Available, Shape_Cake, Single-Estate, Spring Harvest, Stone Pressed, Storage Type_Kunming Storage, Sub-Region_Xishuangbanna (Yunnan), Sub-Region_You Le Mountain (Xishuangbanna), Tea Type_Raw Pu-erh Tea, Year of Production_2015, You Le","2015 Hai Lang Hao ""You Le"" Old Arbor Raw Pu-erh Tea",1 Cake (400 Grams),Whole Cake,"A whole pressed tea cake, brick, or tuo",496.0,400.0,1.24,2015,True,https://yunnansourcing.com/products/2015-hai-lang-hao-you-le-old-arbor-raw-pu-erh-tea
Path of Cha,Yellow,Tea & Infusions,"All Buds, First Flush, Gao Shan, Handmade, High Mountain, Huang Cha, Huang Ya, Mengding, Organic, Sichuan, Tea, Yellow Tea","""Yellow Buds"" Meng Ding Huang Ya Handmade Yellow Tea",25g ($1.24 per gram),Other/Unspecified,Could not tell from the title - check manually,31.0,25.0,1.24,,True,https://pathofcha.com/products/yellow-buds-meng-ding-huang-ya-handmade-yellow-tea
Path of Cha,Green,Tea & Infusions,"Ceremonial Matcha, First Flush, Green Tea, Japan, Matcha, Organic, Shaded Tea, Tea","""Nuttsu"" Ceremonial Grade Matcha (Japan)",25g ($1.24 per gram),Other/Unspecified,Could not tell from the title - check manually,31.0,25.0,1.24,,True,https://pathofcha.com/products/nattsu-ceremonial-grade-matcha-japan
Yunnan Sourcing,Raw Puer,Raw Pu-erh Tea,"$0.70-$0.799/g, 2011, 250 grams, Aged Raw Pu-erh, Autumn Harvest, Cake, Kunming Storage, PI2024, Price per gram_$0.70-$0.799/g, Producer_Yunnan Sourcing Brand Tea, Pu-erh Harvest Season_Autumn Harvest, Region_Yunnan, revoq-no-withdrawal, Sample Available, Shape_Cake, Single-Estate, Stone Pressed, Storage Type_Kunming Storage, Sub-Region Xishuangbanna (Yunnan), Sub-Region_Xishuangbanna (Yunnan), Sub-Region_Yi Wu Mountains (Yunnan), Tea Type_Raw Pu-erh Tea, Year of Production_2011, Yi Wu, YSPI2026","2011 Yunnan Sourcing ""Autumn Yi Bang"" Ancient Arbor Pu-erh Tea Cake",1 cake (250 grams),Whole Cake,"A whole pressed tea cake, brick, or tuo",311.0,250.0,1.244,2011,True,https://yunnansourcing.com/products/2011-yunnan-sourcing-autumn-yi-bang-ancient-arbor-pu-erh-tea-cake
white2tea,Raw Puer,Raw Puer Tea,"Raw Puer Tea, Raw Puer Tea: 2019",2019 is a gift,200g,Other/Unspecified,Could not tell from the title - check manually,249.0,200.0,1.245,2019,False,https://white2tea.com/products/2019-is-a-gift
Yunnan Sourcing,Ripe Puer,Ripe Pu-erh Tea,"$1.00-$1.49/g, 2017, 500 Grams, Brick, Bu Lang, Kunming Storage, Menghai, NONYS2024, Price per gram_$1.00-$1.49/g, revoq-no-withdrawal, Sample Available, Shape_Brick, Storage Type_Kunming Storage, Sub-Region_Bu Lang Mountains (Menghai), Sub-Region_Menghai (Yunnan), Tea Type_Ripe Pu-erh Tea, Year of Production_2017","2017 Hai Lang Hao ""Jun Ai"" Ripe Pu-erh Tea Brick",1 Brick (500 Grams),Whole Cake,"A whole pressed tea cake, brick, or tuo",623.25,500.0,1.2465,2017,False,https://yunnansourcing.com/products/2017-hai-lang-hao-jun-ai-ripe-pu-erh-tea-brick
King Tea Mall,Other,,Puerh Ripe Tea Shou Cha,"2021 XiaGuan ""Xin Gao Du"" (New Altitude) Mushroom Tuo 260g Puerh Shou Cha Ripe Tea",Sample 8g,Sample,Small sample-size portion of a tea,9.99,8.0,1.2488,2021,True,https://kingteamall.com/products/2021-xiaguan-xin-gao-du-new-altitude-tuo-260g-puerh-shou-cha-ripe-tea
King Tea Mall,Raw Puer,,Puerh Raw Tea Sheng Cha,"2014 ChenShengHao ""Chen Xiang Sheng Hua"" (Upgraded Aged Flavor) 400g Puerh Raw Tea Sheng Cha",Sample 8g,Sample,Small sample-size portion of a tea,9.99,8.0,1.2488,2014,True,https://kingteamall.com/products/2014-chenshenghao-chen-xiang-sheng-hua-upgraded-aged-flavor-400g-puerh-raw-tea-sheng-cha
